результаты в табличном виде:
https://docs.google.com/spreadsheets/d/1nGiAhGcIHm1QikKIbAN_krccRdjT34EOUSx4z0APf2s/edit?usp=sharing

Шрифты	Размер	Цвет текста	Подчеркивание	Цвет подчеркивания	Начертание	Зачеркнутый	Двойное зачеркивание	Надстрочный	Подстрочный	Сдвиг	Малые прописные	Все прописные	Выровнять высоту знаков
Gill Sans MT	44	стандартный	нет	нет	курсив	false	false	true	false	50	false	false	true
Verdana	10.5	стандартный	двойная линия	стандартный	полужирный курсив	false	false	true	false	50	false	true	false
Constantia	12	цвет из политры	жирная линия	цвет из политры	обычный	false	true	false	false	0	false	false	true
Trebuchet MS	44	стандартный	одинарная линия	нет	полужирный курсив	false	false	true	false	100	false	true	true
Franklin Gothic Book	28	цвет из политры	пунктирная линия	цвет из политры	полужирный курсив	false	false	false	false	0	false	false	true
Franklin Gothic Book	80	цвет из политры	жирная линия	нет	полужирный	false	true	true	false	50	false	false	false
Garamond	24	стандартный	жирная пунктирная линия	нет	обычный	false	false	true	false	100	false	true	true
Corbel	18	цвет из политры	нет	нет	курсив	false	true	true	false	50	false	true	false
SimSun-ExtB	12	цвет из политры	жирная линия	цвет из политры	полужирный курсив	false	true	true	false	100	true	false	true
Segoe UI Light	12	цвет из политры	жирная линия	нет	курсив	false	true	false	false	0	true	false	false
Microsoft JhengHei	40	цвет из политры	жирная линия	нет	полужирный курсив	true	false	true	false	50	false	false	true
Georgia	32	стандартный	нет	нет	полужирный курсив	false	true	true	false	50	true	false	true
Gill Sans MT	40	цвет из политры	одинарная линия	нет	полужирный курсив	true	false	true	false	50	false	false	false
MS Gothic	11	цвет из политры	одинарная линия	цвет из политры	полужирный	false	true	true	false	100	false	true	true
Lucida Sans Unicode	28	стандартный	пунктирная линия	стандартный	курсив	true	false	true	false	100	false	true	false
Segoe UI	96	стандартный	одинарная линия	стандартный	полужирный курсив	false	true	false	false	0	false	true	true
Times New Roman	88	цвет из политры	двойная линия	цвет из политры	полужирный курсив	false	false	false	false	0	false	true	false
Cambria	20	цвет из политры	пунктирная линия	нет	полужирный	false	false	true	false	100	false	true	true
Corbel	9	цвет из политры	пунктирная линия	стандартный	полужирный	false	true	true	false	100	true	false	true
Arial	20	стандартный	одинарная линия	цвет из политры	курсив	false	false	true	false	100	true	false	true
Comic Sans MS	9	стандартный	нет	нет	полужирный курсив	false	true	true	false	100	false	true	false
Corbel	24	цвет из политры	жирная линия	нет	курсив	true	false	false	false	0	false	true	false
Tahoma	32	стандартный	одинарная линия	стандартный	полужирный	false	false	false	false	0	false	true	true
Franklin Gothic Medium	24	цвет из политры	жирная пунктирная линия	нет	полужирный курсив	false	false	true	false	50	false	false	false
Rockwell	10.5	цвет из политры	одинарная линия	цвет из политры	обычный	false	false	true	false	50	false	true	false
Gautami	88	цвет из политры	нет	нет	курсив	false	true	true	false	100	false	true	true
Lucida Sans Unicode	10	цвет из политры	двойная линия	стандартный	полужирный	false	true	true	false	50	true	false	false
Constantia	8	цвет из политры	жирная линия	цвет из политры	полужирный курсив	false	true	false	false	0	false	true	false
MS PGothic	80	цвет из политры	одинарная линия	нет	курсив	false	true	true	false	100	false	true	true
Gautami	60	стандартный	жирная линия	цвет из политры	полужирный	false	false	false	false	0	false	true	false
Lucida Sans	8	цвет из политры	жирная линия	цвет из политры	курсив	false	true	true	false	50	true	false	true
TW Cen MT	8	цвет из политры	жирная пунктирная линия	цвет из политры	полужирный курсив	false	true	false	false	0	true	false	true
Gautami	54	цвет из политры	одинарная линия	стандартный	полужирный курсив	false	true	false	false	0	false	true	true
Verdana	66	цвет из политры	одинарная линия	стандартный	курсив	false	true	false	false	0	false	true	false
TW Cen MT	48	цвет из политры	пунктирная линия	цвет из политры	полужирный	false	true	false	false	0	true	false	false
Segoe UI Light	54	стандартный	жирная пунктирная линия	цвет из политры	курсив	false	true	false	false	0	false	true	false
Rockwell	11	цвет из политры	жирная линия	нет	полужирный	true	false	true	false	50	false	true	false
Franklin Gothic Medium	48	стандартный	двойная линия	нет	курсив	false	true	false	false	0	false	true	false
SimSun-ExtB	20	стандартный	нет	нет	полужирный	false	false	true	false	50	false	false	false
Constantia	96	цвет из политры	жирная линия	нет	полужирный	false	true	true	false	50	false	true	true
Georgia	14	цвет из политры	двойная линия	стандартный	обычный	false	true	true	false	50	false	true	true
TH SarabunPSK	72	стандартный	одинарная линия	цвет из политры	курсив	true	false	true	false	100	true	false	false
Book Antiqua	54	цвет из политры	двойная линия	цвет из политры	курсив	true	false	false	false	0	false	true	true
Rockwell	18	цвет из политры	пунктирная линия	стандартный	полужирный	true	false	true	false	100	true	false	true
MPingLiU-ExtB	8	цвет из политры	нет	нет	полужирный	false	true	true	false	100	false	false	true
Arial	66	стандартный	жирная линия	стандартный	курсив	false	false	true	false	100	false	true	false
Calibri	96	цвет из политры	жирная пунктирная линия	стандартный	полужирный	true	false	false	false	0	false	true	false
Sylfaen	10	стандартный	одинарная линия	нет	курсив	true	false	true	false	50	false	true	false
TW Cen MT	88	стандартный	жирная пунктирная линия	стандартный	курсив	true	false	true	false	50	true	false	true
Century Schoolbook	60	цвет из политры	двойная линия	цвет из политры	полужирный курсив	false	false	true	false	100	false	true	false
Tahoma	10	стандартный	жирная пунктирная линия	цвет из политры	обычный	false	false	true	false	50	false	true	true
MS Gothic	60	цвет из политры	жирная линия	стандартный	полужирный	false	true	false	false	0	false	true	false
Courier New	24	цвет из политры	одинарная линия	цвет из политры	полужирный	false	false	false	false	0	true	false	true
Comic Sans MS	32	цвет из политры	жирная пунктирная линия	цвет из политры	обычный	false	true	false	false	0	false	true	true
Segoe UI Light	44	стандартный	одинарная линия	стандартный	курсив	true	false	false	false	0	true	false	false
Rockwell	44	цвет из политры	жирная линия	нет	обычный	false	true	true	false	100	false	false	true
Segoe UI	66	цвет из политры	жирная пунктирная линия	нет	полужирный курсив	false	false	true	false	50	false	true	true
Georgia	16	стандартный	жирная линия	цвет из политры	полужирный	false	false	true	false	50	false	true	true
Calibri	24	стандартный	жирная пунктирная линия	стандартный	полужирный курсив	false	true	true	false	50	true	false	true
Sylfaen	40	цвет из политры	пунктирная линия	нет	полужирный	false	true	true	false	100	false	true	true
Bookman Old Style	44	стандартный	жирная пунктирная линия	стандартный	полужирный	false	true	false	false	0	false	true	true
Franklin Gothic Medium	14	стандартный	одинарная линия	нет	курсив	false	true	true	false	50	false	true	true
Georgia	11	цвет из политры	жирная линия	цвет из политры	полужирный	false	false	true	false	50	false	false	false
Arial Black	10	цвет из политры	жирная линия	цвет из политры	полужирный	false	true	true	false	100	true	false	true
Malgun Gothic	10.5	цвет из политры	жирная линия	нет	обычный	false	false	true	false	50	false	true	true
Franklin Gothic Book	66	стандартный	пунктирная линия	цвет из политры	полужирный	false	true	true	false	50	false	true	false
Book Antiqua	44	стандартный	двойная линия	цвет из политры	полужирный курсив	true	false	false	false	0	false	false	false
Gautami	20	стандартный	пунктирная линия	нет	полужирный курсив	true	false	true	false	50	false	false	false
Verdana	54	стандартный	двойная линия	цвет из политры	полужирный курсив	true	false	true	false	50	false	true	true
Segoe UI	12	стандартный	жирная линия	цвет из политры	курсив	false	true	true	false	50	true	false	false
Consolas	60	стандартный	двойная линия	стандартный	курсив	false	false	true	false	50	true	false	true
Malgun Gothic	11	цвет из политры	двойная линия	цвет из политры	полужирный курсив	false	true	false	false	0	true	false	false
Segoe UI	48	цвет из политры	жирная пунктирная линия	нет	полужирный курсив	true	false	false	false	0	false	true	false
Comic Sans MS	80	стандартный	жирная линия	стандартный	полужирный курсив	false	true	false	false	0	false	true	false
Consolas	11	стандартный	жирная линия	цвет из политры	обычный	false	true	false	false	0	false	false	true
MS Gothic	10	цвет из политры	одинарная линия	нет	курсив	false	false	false	false	0	false	false	true
Trebuchet MS	28	цвет из политры	двойная линия	нет	полужирный	false	false	true	false	100	false	true	true
Times New Roman	9	стандартный	двойная линия	цвет из политры	полужирный	false	false	true	false	50	false	false	false
Trebuchet MS	24	цвет из политры	жирная пунктирная линия	нет	полужирный	true	false	true	false	100	false	true	true
Rockwell	48	стандартный	одинарная линия	стандартный	полужирный	false	true	true	false	100	true	false	false
MS PGothic	96	стандартный	жирная линия	стандартный	обычный	false	false	false	false	0	false	true	true
Microsoft JhengHei	18	стандартный	жирная пунктирная линия	цвет из политры	полужирный	false	false	true	false	50	false	true	true
Corbel	10	стандартный	двойная линия	стандартный	полужирный	false	true	false	false	0	true	false	true
Calibri	8	стандартный	одинарная линия	стандартный	курсив	true	false	true	false	50	false	true	false
Book Antiqua	66	цвет из политры	жирная пунктирная линия	стандартный	полужирный курсив	true	false	true	false	100	false	false	false
Lucida Sans Unicode	32	стандартный	пунктирная линия	нет	обычный	false	true	false	false	0	false	true	true
Century Schoolbook	32	цвет из политры	жирная линия	цвет из политры	курсив	false	true	true	false	100	true	false	false
Segoe UI	9	стандартный	двойная линия	стандартный	полужирный	true	false	true	false	50	true	false	true
Candara	60	стандартный	жирная пунктирная линия	цвет из политры	курсив	false	true	false	false	0	false	true	true
Arial	44	стандартный	нет	нет	полужирный	false	true	true	false	50	false	false	false
Comic Sans MS	28	цвет из политры	двойная линия	стандартный	полужирный курсив	false	true	false	false	0	false	true	true
SimSun-ExtB	18	цвет из политры	пунктирная линия	стандартный	полужирный курсив	false	false	false	false	0	true	false	false
Times New Roman	28	стандартный	одинарная линия	нет	полужирный курсив	false	true	true	false	50	true	false	false
Tahoma	80	стандартный	пунктирная линия	нет	курсив	false	true	true	false	100	false	true	false
Times New Roman	44	стандартный	двойная линия	цвет из политры	курсив	false	true	true	false	50	false	true	true
Arial	72	цвет из политры	нет	нет	полужирный курсив	true	false	true	false	50	true	false	false
Bookman Old Style	10	стандартный	двойная линия	нет	обычный	false	true	false	false	0	false	true	true
Microsoft YaHei	16	цвет из политры	пунктирная линия	цвет из политры	курсив	false	true	true	false	50	false	true	true
Book Antiqua	11	стандартный	нет	нет	полужирный курсив	true	false	true	false	50	false	true	true
Georgia	66	цвет из политры	двойная линия	стандартный	полужирный курсив	false	false	true	false	50	false	false	false
Microsoft YaHei	48	стандартный	пунктирная линия	цвет из политры	полужирный курсив	false	false	false	false	0	true	false	false
Trebuchet MS	11	стандартный	одинарная линия	стандартный	полужирный курсив	false	true	false	false	0	false	true	true
Sylfaen	14	стандартный	жирная линия	стандартный	полужирный	false	false	true	false	100	false	false	true
TH SarabunPSK	9	цвет из политры	одинарная линия	нет	курсив	false	true	true	false	50	false	true	true
Sylfaen	48	цвет из политры	жирная пунктирная линия	стандартный	полужирный	false	false	true	false	100	false	false	false
Microsoft YaHei	54	стандартный	жирная пунктирная линия	стандартный	обычный	false	false	false	false	0	true	false	true
Bookman Old Style	88	стандартный	жирная пунктирная линия	нет	обычный	false	false	true	false	100	false	false	true
Arial Black	44	цвет из политры	жирная линия	стандартный	полужирный	false	true	false	false	0	false	true	false
Constantia	36	стандартный	пунктирная линия	стандартный	полужирный курсив	true	false	true	false	50	true	false	false
Century	36	цвет из политры	пунктирная линия	цвет из политры	полужирный	true	false	false	false	0	true	false	false
Times	28	стандартный	одинарная линия	цвет из политры	полужирный	false	true	true	false	100	false	false	true
Courier New	32	стандартный	двойная линия	стандартный	полужирный курсив	false	false	true	false	100	false	true	false
Cambria	12	стандартный	двойная линия	нет	обычный	false	false	true	false	50	false	true	true
Times New Roman	32	стандартный	двойная линия	цвет из политры	полужирный курсив	true	false	true	false	50	false	true	false
Cambria	40	цвет из политры	одинарная линия	цвет из политры	курсив	false	false	true	false	100	false	false	true
Georgia	18	цвет из политры	пунктирная линия	стандартный	полужирный	true	false	false	false	0	true	false	true
Times New Roman	36	цвет из политры	жирная пунктирная линия	цвет из политры	курсив	true	false	false	false	0	true	false	true
Gill Sans MT	88	цвет из политры	жирная пунктирная линия	стандартный	полужирный курсив	true	false	true	false	100	false	true	false
Malgun Gothic	10	цвет из политры	жирная линия	стандартный	полужирный курсив	true	false	false	false	0	false	true	false
Times New Roman	54	цвет из политры	пунктирная линия	стандартный	обычный	false	true	true	false	50	true	false	false
Gill Sans MT	10.5	цвет из политры	одинарная линия	нет	обычный	false	true	false	false	0	true	false	false
Garamond	11	стандартный	жирная пунктирная линия	нет	полужирный курсив	false	true	false	false	0	true	false	false
Franklin Gothic Book	14	стандартный	жирная пунктирная линия	нет	обычный	true	false	true	false	100	false	true	true
Constantia	14	цвет из политры	жирная пунктирная линия	нет	обычный	false	true	false	false	0	false	false	false
Century Gothic	48	стандартный	жирная пунктирная линия	цвет из политры	полужирный	false	true	false	false	0	true	false	false
Consolas	10	стандартный	пунктирная линия	цвет из политры	полужирный	false	true	true	false	100	true	false	false
Georgia	80	цвет из политры	двойная линия	цвет из политры	обычный	false	true	false	false	0	false	true	true
Microsoft YaHei	20	стандартный	двойная линия	стандартный	полужирный курсив	false	false	true	false	50	false	true	false
Gill Sans MT	96	цвет из политры	пунктирная линия	стандартный	курсив	true	false	true	false	100	true	false	false
Verdana	24	стандартный	двойная линия	нет	обычный	false	true	true	false	100	true	false	false
Microsoft JhengHei	11	цвет из политры	одинарная линия	цвет из политры	полужирный курсив	false	true	false	false	0	false	false	false
Consolas	16	цвет из политры	двойная линия	цвет из политры	курсив	false	false	false	false	0	false	true	true
Calibri Light	32	стандартный	жирная линия	цвет из политры	полужирный	true	false	false	false	0	false	false	true
Courier New	96	стандартный	жирная линия	цвет из политры	курсив	true	false	true	false	100	false	false	false
Microsoft YaHei	60	цвет из политры	одинарная линия	цвет из политры	курсив	false	true	true	false	50	false	false	false
Arial Black	48	цвет из политры	пунктирная линия	цвет из политры	обычный	false	true	false	false	0	false	true	false
Century	16	стандартный	одинарная линия	нет	курсив	false	true	true	false	100	false	false	true
Verdana	14	стандартный	одинарная линия	нет	полужирный	true	false	true	false	50	false	true	true
MS PGothic	18	стандартный	двойная линия	цвет из политры	полужирный курсив	false	true	true	false	100	false	false	true
Segoe UI	28	стандартный	нет	нет	полужирный курсив	false	true	false	false	0	false	true	true
Bookman Old Style	18	стандартный	пунктирная линия	цвет из политры	полужирный курсив	false	false	true	false	50	false	false	false
Comic Sans MS	12	стандартный	одинарная линия	цвет из политры	обычный	true	false	true	false	50	false	false	true
Microsoft YaHei	36	стандартный	двойная линия	цвет из политры	полужирный курсив	false	true	true	false	100	false	true	false
Lucida Sans Unicode	11	цвет из политры	жирная пунктирная линия	стандартный	курсив	false	true	false	false	0	false	true	true
Candara	32	цвет из политры	жирная линия	цвет из политры	полужирный курсив	true	false	true	false	100	false	true	false
Rockwell	88	цвет из политры	одинарная линия	нет	обычный	false	false	false	false	0	true	false	true
Book Antiqua	88	цвет из политры	одинарная линия	цвет из политры	полужирный курсив	false	false	false	false	0	false	true	true
Calibri Light	44	цвет из политры	жирная линия	цвет из политры	курсив	true	false	false	false	0	true	false	false
MS PGothic	88	цвет из политры	одинарная линия	цвет из политры	курсив	false	true	true	false	100	false	true	false
Bookman Old Style	66	стандартный	жирная линия	цвет из политры	полужирный	true	false	true	false	50	false	true	false
Microsoft JhengHei	12	стандартный	пунктирная линия	цвет из политры	полужирный	false	true	false	false	0	false	false	true
TW Cen MT	36	цвет из политры	нет	нет	обычный	false	false	false	false	0	false	true	true
Segoe UI	44	стандартный	нет	нет	обычный	false	true	true	false	100	false	true	true
Century	66	цвет из политры	жирная линия	нет	курсив	false	true	true	false	100	false	true	true
Cambria	60	цвет из политры	одинарная линия	стандартный	курсив	false	false	false	false	0	false	true	true
Times New Roman	16	стандартный	жирная линия	цвет из политры	курсив	false	false	true	false	100	false	true	false
Tahoma	44	цвет из политры	нет	нет	обычный	false	true	true	false	100	true	false	false
Book Antiqua	8	цвет из политры	жирная линия	стандартный	полужирный	false	true	false	false	0	true	false	true
Consolas	20	стандартный	нет	нет	полужирный	false	true	true	false	50	false	false	true
Microsoft JhengHei	24	стандартный	жирная пунктирная линия	стандартный	полужирный	false	true	false	false	0	true	false	true
TW Cen MT	54	стандартный	пунктирная линия	цвет из политры	обычный	true	false	true	false	50	false	true	false
Trebuchet MS	9	цвет из политры	пунктирная линия	стандартный	полужирный	false	true	true	false	50	false	false	false
Corbel	96	цвет из политры	жирная линия	цвет из политры	курсив	true	false	true	false	100	false	false	false
Candara	54	цвет из политры	одинарная линия	цвет из политры	курсив	false	true	true	false	100	true	false	true
SimSun	9	цвет из политры	двойная линия	цвет из политры	курсив	false	true	false	false	0	false	false	true
Tahoma	88	цвет из политры	двойная линия	стандартный	полужирный курсив	true	false	true	false	100	false	true	false
Corbel	48	стандартный	жирная пунктирная линия	цвет из политры	курсив	false	true	false	false	0	true	false	true
Rockwell	80	стандартный	нет	нет	обычный	false	true	false	false	0	false	true	false
Georgia	88	цвет из политры	одинарная линия	стандартный	курсив	false	false	false	false	0	false	true	true
Times	11	цвет из политры	жирная пунктирная линия	цвет из политры	полужирный	false	true	true	false	50	false	true	false
Lucida Sans Unicode	72	цвет из политры	нет	нет	обычный	false	true	true	false	100	false	false	true
Bookman Old Style	28	стандартный	одинарная линия	цвет из политры	курсив	false	true	true	false	50	false	false	true
Corbel	10.5	цвет из политры	двойная линия	стандартный	курсив	false	false	true	false	100	true	false	true
MS PGothic	40	цвет из политры	одинарная линия	цвет из политры	обычный	false	false	false	false	0	false	false	true
TH SarabunPSK	88	цвет из политры	жирная линия	цвет из политры	полужирный	false	true	true	false	100	true	false	false
Lucida Sans	54	цвет из политры	жирная пунктирная линия	цвет из политры	полужирный	false	false	true	false	50	true	false	false
Constantia	44	стандартный	жирная пунктирная линия	стандартный	полужирный курсив	true	false	true	false	100	false	true	false
Garamond	10	цвет из политры	пунктирная линия	нет	обычный	false	true	true	false	50	false	true	false
Gill Sans MT	16	стандартный	пунктирная линия	нет	курсив	false	false	true	false	100	false	true	true
Lucida Sans	80	стандартный	одинарная линия	цвет из политры	полужирный курсив	false	true	true	false	50	false	true	false
Franklin Gothic Book	48	стандартный	пунктирная линия	цвет из политры	полужирный курсив	true	false	false	false	0	false	true	true
Tahoma	66	цвет из политры	жирная линия	стандартный	курсив	false	true	true	false	50	false	false	true
Lucida Sans	48	цвет из политры	пунктирная линия	нет	полужирный курсив	false	false	true	false	100	false	true	true
Lucida Sans	20	цвет из политры	жирная линия	стандартный	полужирный	true	false	true	false	100	false	true	false
Arial Black	36	цвет из политры	одинарная линия	стандартный	полужирный курсив	false	false	true	false	100	false	true	false
Microsoft JhengHei	8	стандартный	пунктирная линия	цвет из политры	полужирный курсив	false	false	false	false	0	false	true	false
TH SarabunPSK	48	цвет из политры	жирная линия	стандартный	курсив	false	true	true	false	50	true	false	true
Constantia	66	цвет из политры	нет	нет	курсив	false	true	true	false	50	true	false	false
TH SarabunPSK	66	цвет из политры	пунктирная линия	стандартный	курсив	false	true	false	false	0	false	true	true
Times New Roman	12	цвет из политры	нет	нет	полужирный курсив	true	false	true	false	50	true	false	false
Segoe UI Light	14	стандартный	жирная линия	нет	курсив	true	false	true	false	50	false	true	true
Verdana	18	цвет из политры	пунктирная линия	нет	курсив	false	true	false	false	0	false	false	true
Georgia	96	стандартный	двойная линия	цвет из политры	полужирный курсив	false	false	true	false	100	false	false	false
MS PGothic	20	стандартный	двойная линия	стандартный	обычный	false	false	true	false	50	false	true	false
Century	8	стандартный	нет	нет	курсив	false	true	true	false	50	false	true	true
Lucida Sans	9	стандартный	жирная пунктирная линия	цвет из политры	полужирный курсив	true	false	true	false	50	false	false	false
Microsoft JhengHei	9	цвет из политры	пунктирная линия	цвет из политры	курсив	false	true	true	false	50	false	true	false
Consolas	88	цвет из политры	жирная пунктирная линия	цвет из политры	обычный	true	false	false	false	0	false	false	true
Century Gothic	44	стандартный	жирная пунктирная линия	нет	курсив	false	true	false	false	0	false	true	true
Garamond	54	цвет из политры	нет	нет	полужирный курсив	true	false	true	false	100	false	true	false
Calibri Light	60	стандартный	двойная линия	цвет из политры	курсив	true	false	true	false	50	true	false	false
Lucida Sans	11	цвет из политры	пунктирная линия	цвет из политры	обычный	false	false	true	false	100	false	true	false
Franklin Gothic Book	8	цвет из политры	двойная линия	стандартный	полужирный курсив	false	false	false	false	0	false	false	false
Franklin Gothic Medium	11	стандартный	жирная пунктирная линия	нет	полужирный	false	true	false	false	0	false	true	true
Consolas	36	цвет из политры	нет	нет	обычный	true	false	false	false	0	false	true	true
Segoe UI	32	цвет из политры	жирная пунктирная линия	цвет из политры	обычный	false	false	true	false	50	false	true	false
Lucida Sans Unicode	96	цвет из политры	нет	нет	полужирный	false	true	false	false	0	false	true	true
Times New Roman	80	цвет из политры	пунктирная линия	нет	обычный	false	true	true	false	100	false	true	true
Malgun Gothic	36	цвет из политры	жирная линия	стандартный	обычный	false	true	true	false	100	false	false	false
Candara	80	стандартный	нет	нет	обычный	true	false	false	false	0	false	true	false
TW Cen MT	20	стандартный	одинарная линия	цвет из политры	курсив	false	false	true	false	50	true	false	false
Gautami	40	стандартный	жирная пунктирная линия	стандартный	курсив	true	false	false	false	0	true	false	true
Candara	20	стандартный	нет	нет	полужирный курсив	true	false	false	false	0	true	false	true
Bookman Old Style	72	стандартный	одинарная линия	цвет из политры	полужирный курсив	false	true	true	false	50	false	false	true
Century Gothic	12	цвет из политры	одинарная линия	нет	курсив	false	true	false	false	0	false	true	false
SimSun-ExtB	54	стандартный	двойная линия	стандартный	обычный	false	true	true	false	50	false	true	false
Malgun Gothic	12	стандартный	одинарная линия	цвет из политры	полужирный курсив	false	false	false	false	0	false	true	true
Courier New	44	стандартный	жирная пунктирная линия	нет	полужирный курсив	false	true	true	false	50	false	true	true
Segoe UI Light	36	стандартный	жирная пунктирная линия	нет	полужирный курсив	false	true	true	false	50	true	false	false
Franklin Gothic Book	24	цвет из политры	нет	нет	полужирный курсив	false	true	true	false	100	false	true	true
Segoe UI Light	20	стандартный	жирная линия	нет	обычный	false	true	true	false	50	false	false	true
Times New Roman	72	цвет из политры	пунктирная линия	стандартный	курсив	false	true	false	false	0	true	false	true
Gill Sans MT	9	стандартный	жирная пунктирная линия	цвет из политры	полужирный	false	false	true	false	50	false	true	true
Georgia	12	стандартный	жирная линия	стандартный	обычный	false	true	true	false	100	false	false	true
Gill Sans MT	28	стандартный	одинарная линия	стандартный	полужирный	false	true	true	false	100	true	false	true
Century Gothic	88	стандартный	пунктирная линия	нет	обычный	true	false	false	false	0	false	false	false
Lucida Sans Unicode	54	стандартный	жирная пунктирная линия	стандартный	полужирный	true	false	true	false	50	false	true	true
Cambria	28	стандартный	жирная линия	стандартный	курсив	true	false	true	false	50	false	false	false
Cambria	18	стандартный	жирная пунктирная линия	стандартный	обычный	true	false	true	false	50	false	true	true
Cambria	54	стандартный	жирная пунктирная линия	стандартный	обычный	true	false	true	false	50	true	false	false
Lucida Sans Unicode	60	цвет из политры	одинарная линия	цвет из политры	полужирный курсив	false	true	true	false	100	true	false	false
Book Antiqua	80	стандартный	жирная линия	нет	обычный	false	true	true	false	50	true	false	true
SimSun-ExtB	9	стандартный	двойная линия	стандартный	полужирный курсив	true	false	false	false	0	true	false	true
Century	10	цвет из политры	одинарная линия	нет	обычный	true	false	true	false	50	false	true	false
Times New Roman	24	стандартный	жирная линия	цвет из политры	полужирный курсив	false	true	true	false	100	true	false	true
Rockwell	66	цвет из политры	пунктирная линия	стандартный	полужирный курсив	false	false	true	false	50	true	false	true
Lucida Sans	44	цвет из политры	одинарная линия	цвет из политры	полужирный курсив	false	true	false	false	0	false	true	false
Franklin Gothic Medium	54	стандартный	двойная линия	цвет из политры	курсив	true	false	false	false	0	false	true	true
SimSun	20	цвет из политры	пунктирная линия	нет	курсив	false	true	true	false	100	false	true	false
Calibri	18	цвет из политры	нет	нет	обычный	true	false	true	false	50	true	false	true
Trebuchet MS	32	стандартный	одинарная линия	стандартный	полужирный	false	true	true	false	50	false	true	true
Century	40	цвет из политры	пунктирная линия	нет	курсив	false	false	false	false	0	true	false	true
Arial	60	цвет из политры	одинарная линия	нет	полужирный курсив	false	true	true	false	100	false	true	true
SimSun-ExtB	14	стандартный	пунктирная линия	стандартный	полужирный курсив	false	false	true	false	100	false	false	false
Garamond	96	цвет из политры	жирная пунктирная линия	цвет из политры	полужирный курсив	false	true	false	false	0	true	false	true
Times New Roman	14	цвет из политры	жирная пунктирная линия	нет	полужирный курсив	false	true	true	false	100	false	true	false
Malgun Gothic	96	цвет из политры	двойная линия	нет	полужирный	false	false	false	false	0	false	true	true
Corbel	20	цвет из политры	жирная пунктирная линия	стандартный	обычный	true	false	true	false	100	false	true	true
Segoe UI Light	28	стандартный	одинарная линия	стандартный	обычный	true	false	true	false	50	false	false	false
Segoe UI Light	40	цвет из политры	жирная пунктирная линия	цвет из политры	обычный	false	true	true	false	50	false	true	false
Corbel	8	стандартный	нет	нет	полужирный курсив	false	false	true	false	50	false	true	true
Gill Sans MT	12	стандартный	жирная пунктирная линия	стандартный	полужирный	false	false	true	false	100	false	false	true
Rockwell	54	цвет из политры	жирная линия	цвет из политры	полужирный курсив	true	false	false	false	0	false	true	false
Gautami	18	стандартный	жирная пунктирная линия	нет	обычный	false	true	false	false	0	false	true	false
Courier New	40	стандартный	жирная пунктирная линия	цвет из политры	полужирный курсив	false	true	false	false	0	false	false	false
TW Cen MT	18	цвет из политры	жирная линия	нет	обычный	false	true	true	false	100	true	false	true
Cambria	16	цвет из политры	двойная линия	цвет из политры	обычный	false	false	true	false	50	false	false	false
Microsoft JhengHei	66	стандартный	двойная линия	стандартный	обычный	false	true	true	false	100	true	false	true
Garamond	18	цвет из политры	двойная линия	цвет из политры	обычный	false	true	true	false	50	false	true	true
SimSun-ExtB	32	цвет из политры	жирная линия	стандартный	полужирный	false	true	true	false	100	false	false	false
Century	12	цвет из политры	одинарная линия	цвет из политры	обычный	false	true	false	false	0	false	false	false
Candara	10.5	цвет из политры	двойная линия	нет	обычный	true	false	true	false	100	false	true	true
Courier New	48	цвет из политры	пунктирная линия	стандартный	полужирный	false	false	true	false	100	true	false	false
Rockwell	10	цвет из политры	пунктирная линия	цвет из политры	полужирный курсив	false	true	true	false	100	false	true	true
Courier New	80	цвет из политры	двойная линия	стандартный	полужирный	false	true	true	false	50	false	false	true
Rockwell	8	цвет из политры	нет	нет	полужирный	false	true	true	false	100	true	false	true
Consolas	18	цвет из политры	жирная линия	нет	курсив	false	false	true	false	50	false	true	true
MS PGothic	9	стандартный	жирная пунктирная линия	нет	обычный	false	false	false	false	0	false	true	false
Times	12	стандартный	двойная линия	нет	полужирный курсив	false	true	true	false	100	false	true	true
Garamond	32	стандартный	жирная линия	нет	полужирный курсив	false	true	false	false	0	true	false	true
Century Gothic	72	стандартный	пунктирная линия	нет	полужирный курсив	false	true	true	false	100	false	true	true
Calibri Light	12	цвет из политры	пунктирная линия	нет	обычный	false	true	false	false	0	false	true	true
Sylfaen	44	стандартный	одинарная линия	нет	полужирный	false	true	false	false	0	false	true	false
Arial	11	цвет из политры	жирная пунктирная линия	цвет из политры	полужирный	false	false	true	false	100	false	false	true
Century Gothic	9	цвет из политры	жирная пунктирная линия	стандартный	полужирный курсив	false	true	true	false	50	false	true	true
TW Cen MT	96	стандартный	жирная линия	цвет из политры	обычный	false	true	true	false	50	true	false	false
Cambria	48	цвет из политры	нет	нет	обычный	true	false	true	false	50	true	false	true
TH SarabunPSK	24	цвет из политры	жирная линия	цвет из политры	курсив	false	true	false	false	0	true	false	false
Calibri Light	28	цвет из политры	двойная линия	цвет из политры	полужирный курсив	false	true	true	false	100	false	true	true
MS PGothic	16	цвет из политры	двойная линия	цвет из политры	обычный	false	true	false	false	0	false	true	false
Century Schoolbook	14	стандартный	пунктирная линия	нет	курсив	true	false	true	false	100	false	false	true
Trebuchet MS	14	стандартный	жирная линия	цвет из политры	полужирный курсив	false	true	true	false	50	true	false	true
